Name,Fuente,Oponente,PA_hist,AVG_hist,K%_hist,xwOBA_hist,EV_hist,Fav_Score,Clasificacion
Logan Gilbert,Roster,Cleveland Guardians,2879,0.205,26.2,0.292,83.4,6,🟢 Favorable
Joe Boyle,Waiver,St. Louis Cardinals,512,0.182,25.2,0.308,84.0,5,🟢 Favorable
Shane Smith,Waiver,Milwaukee Brewers,616,0.19,23.5,0.31,83.6,4,🟢 Favorable
Chad Patrick,Waiver,Chicago White Sox,505,0.224,24.6,0.306,82.3,4,🟢 Favorable
Bailey Ober,Waiver,Baltimore Orioles,2142,0.218,23.6,0.303,82.1,4,🟢 Favorable
Taj Bradley,Waiver,Baltimore Orioles,1643,0.219,25.0,0.318,83.5,4,🟢 Favorable
Tyler Mahle,Waiver,New York Yankees,1009,0.207,22.7,0.305,81.7,4,🟢 Favorable
Carmen Mlodzinski,Waiver,New York Mets,783,0.218,21.6,0.305,83.4,4,🟢 Favorable
Jeffrey Springs,Waiver,Toronto Blue Jays,1461,0.209,23.4,0.301,81.3,4,🟢 Favorable
Will Warren,Waiver,San Francisco Giants,824,0.232,24.0,0.33,83.9,3,🟢 Favorable
Ryne Nelson,Roster,Los Angeles Dodgers,1937,0.231,19.1,0.321,84.0,3,🟢 Favorable
Eduardo Rodriguez,Waiver,Los Angeles Dodgers,1932,0.232,20.9,0.324,81.4,3,🟢 Favorable
Eric Lauer,Waiver,Athletics,1300,0.215,23.1,0.328,82.8,3,🟢 Favorable
Luis Severino,Waiver,Toronto Blue Jays,2292,0.224,20.7,0.32,82.4,3,🟢 Favorable
Dustin May,Waiver,Tampa Bay Rays,898,0.203,20.7,0.329,84.0,3,🟢 Favorable
Sean Burke,Waiver,Milwaukee Brewers,674,0.212,22.8,0.339,83.1,3,🟢 Favorable
Michael McGreevy,Waiver,Tampa Bay Rays,486,0.239,15.6,0.326,84.3,3,🟢 Favorable
Max Meyer,Waiver,Colorado Rockies,560,0.252,21.4,0.337,85.0,2,🟡 Normal
Kyle Freeland,Waiver,Miami Marlins,2647,0.267,16.3,0.351,84.2,2,🟡 Normal
Jake Irvin,Waiver,Chicago Cubs,2087,0.233,18.0,0.342,83.7,2,🟡 Normal
Randy Vásquez,Waiver,Detroit Tigers,1170,0.234,14.7,0.36,83.0,2,🟡 Normal
Yusei Kikuchi,Waiver,Houston Astros,0,,,,,0,🟡 Sin historial
Andrew Abbott,Roster,Boston Red Sox,0,,,,,0,🟡 Sin historial
Seth Lugo,Waiver,Atlanta Braves,0,,,,,0,🟡 Sin historial
Brady Singer,Waiver,Boston Red Sox,0,,,,,0,🟡 Sin historial
Miles Mikolas,Waiver,Chicago Cubs,0,,,,,0,🟡 Sin historial
Mitch Keller,Waiver,New York Mets,0,,,,,0,🟡 Sin historial
